Pole ID,Pole Latitude,Pole Longitude,Pole Type
CHAPAIS 2E PHA62, 49.7819477,-74.8489229,Generic wooden pole
CHAPAIS 6E PHA62, 49.7819477,-74.8489229,Generic wooden pole
CHAPAIS 11E PHA4, 49.7832128,-74.8482809,Generic wooden pole
CHAPAIS 2E PHA4, 49.7832128,-74.8482809,Generic wooden pole
CHAPAIS 11E PHA3, 49.7827191,-74.8480175,Generic wooden pole
CHAPAIS 2E PHA3, 49.7827191,-74.8480175,Generic wooden pole
CHAPAIS 1RE PHA3, 49.7827191,-74.8480175,Generic wooden pole
CHAPAIS 5E PHA93, 49.7817650,-74.8476752,Generic wooden pole
CHAPAIS 2E PHA93, 49.7817650,-74.8476752,Generic wooden pole
CHAPAIS 1RE PHA93, 49.7817650,-74.8476752,Generic wooden pole
CHAPAIS 1RE PHA103, 49.7814882,-74.8465276,Generic wooden pole
CHAPAIS DU ROND POINT PHA145, 49.7818442,-74.8531066,Generic wooden pole
CHAPAIS DU ROND POINT PHD40, 49.7822308,-74.8545046,Generic wooden pole
CHAPAIS SPRINGER PHD40, 49.7822308,-74.8545046,Generic wooden pole
CHAPAIS 5E PHD40, 49.7822308,-74.8545046,Generic wooden pole
CHAPAIS SPRINGER PHO24, 49.7828821,-74.8568697,Generic wooden pole
CHAPAIS 5E PHO24, 49.7828821,-74.8568697,Generic wooden pole
CHAPAIS SPRINGER PHA12, 49.7831879,-74.8579850,Generic wooden pole
CHAPAIS 5E PHA12, 49.7831879,-74.8579850,Generic wooden pole
CHAPAIS 1RE PHA12, 49.7831879,-74.8579850,Generic wooden pole
CHAPAIS 2E PTO21-1, 49.7839082,-74.8558845,Generic wooden pole
CHAPAIS 3E PTA15, 49.7844056,-74.8559707,Generic wooden pole
CHAPAIS 4E PTA15, 49.7844056,-74.8559707,Generic wooden pole
CHAPAIS 2E PTA15, 49.7844056,-74.8559707,Generic wooden pole
CHAPAIS 1RE PTA6, 49.7847679,-74.8571727,Generic wooden pole
CHAPAIS 4E PTA6, 49.7847679,-74.8571727,Generic wooden pole
CHAPAIS 3E PTA6, 49.7847679,-74.8571727,Generic wooden pole
CHAPAIS 4E PTA34, 49.7837535,-74.8535503,Generic wooden pole
CHAPAIS 3E PTA30, 49.7847315,-74.8539875,Generic wooden pole
CHAPAIS 2E PTA30, 49.7847315,-74.8539875,Generic wooden pole
CHAPAIS 2E PTD14, 49.7850797,-74.8551188,Generic wooden pole
CHAPAIS 3E PTD14, 49.7850797,-74.8551188,Generic wooden pole
CHAPAIS 2E PTA19, 49.7851376,-74.8554832,Generic wooden pole
CHAPAIS 3E PTA19, 49.7851376,-74.8554832,Generic wooden pole
CHAPAIS 3E PTA7, 49.7855042,-74.8568107,Generic wooden pole
CHAPAIS 1RE PTA7, 49.7855042,-74.8568107,Generic wooden pole
CHAPAIS 2E PTA7, 49.7855042,-74.8568107,Generic wooden pole
CHAPAIS 2E PHA29, 49.7854441,-74.8535009,Generic wooden pole
CHAPAIS 1RE PTA12, 49.7861254,-74.8559397,Generic wooden pole
CHAPAIS 2E PTA12, 49.7861254,-74.8559397,Generic wooden pole
CHAPAIS 1RE PTA4, 49.7863670,-74.8568770,Generic wooden pole
CHAPAIS 2E PTA4, 49.7863670,-74.8568770,Generic wooden pole
CHAPAIS 9E PHA72, 49.7771671,-74.8517650,Generic wooden pole
CHAPAIS 9E PHA92, 49.7765387,-74.8494788,Generic wooden pole
CHAPAIS 6E PHA66, 49.7769888,-74.8485164,Generic wooden pole
CHAPAIS 7E PHA66, 49.7769888,-74.8485164,Generic wooden pole
CHAPAIS 7E PHA56, 49.7777677,-74.8488817,Generic wooden pole
CHAPAIS 9E PHA106, 49.7761295,-74.8478121,Generic wooden pole
CHAPAIS 7E PHA79, 49.7775028,-74.8473993,Generic wooden pole
CHAPAIS 8E PHA163, 49.7764875,-74.8456266,Generic wooden pole
CHAPAIS 9E PHA163, 49.7764875,-74.8456266,Generic wooden pole
CHAPAIS 9E PHA162, 49.7764287,-74.8444333,Generic wooden pole
CHAPAIS 9E PHA229, 49.7758135,-74.8439603,Generic wooden pole
CHAPAIS 10E PHA229, 49.7758135,-74.8439603,Generic wooden pole
CHAPAIS 8E PHA173, 49.7770576,-74.8452334,Generic wooden pole
CHAPAIS 9E PHA173, 49.7770576,-74.8452334,Generic wooden pole
CHAPAIS 8E PHO164, 49.7771963,-74.8446014,Generic wooden pole
CHAPAIS 9E PHO164, 49.7771963,-74.8446014,Generic wooden pole
CHAPAIS 8E PHA111, 49.7768042,-74.8466091,Generic wooden pole
CHAPAIS 8E PHA123, 49.7776910,-74.8460255,Generic wooden pole
CHAPAIS 8E PHA141, 49.7779763,-74.8443210,Generic wooden pole
CHAPAIS SPRINGER PHA141, 49.7779763,-74.8443210,Generic wooden pole
CHAPAIS 1RE PHA75, 49.7841602,-74.8476018,Generic wooden pole
CHAPAIS 1RE PHO85, 49.7831110,-74.8470000,Generic wooden pole
CHAPAIS DE L'ASSAINISSEMENT PHD234-1, 49.7715249,-74.8489272,Generic wooden pole
CHAPAIS DE LA BIOMASSE PHD226-1, 49.7703224,-74.8490711,Generic wooden pole
CHAPAIS DE L'ASSAINISSEMENT PHD226-1, 49.7703224,-74.8490711,Generic wooden pole
CHAPAIS DE LA BIOMASSE PHO195-1, 49.7691860,-74.8513213,Generic wooden pole
CHAPAIS DE LA COGÉNÉRATION PHO195-7, 49.7707055,-74.8546655,Generic wooden pole
CHAPAIS COOKE PTO1+5, 49.7887051,-74.8611326,Generic wooden pole
CHAPAIS ROBITAILLE PTO1+5, 49.7887051,-74.8611326,Generic wooden pole
CHAPAIS COOKE PTC20+1, 49.7892076,-74.8623653,Generic wooden pole
CHAPAIS SPRINGER PTO70, 49.7814287,-74.8543884,Generic wooden pole
CHAPAIS SPRINGER PHC27, 49.7811002,-74.8533796,Generic wooden pole
CHIBOUGAMAU DUFRESNE PHA160, 49.9201971,-74.3687546,Generic wooden pole
CHIBOUGAMAU MERRILL PHA160, 49.9203132,-74.3685750,Generic wooden pole
CHIBOUGAMAU MERRILL PHA313, 49.9203546,-74.3684239,Generic wooden pole
CHIBOUGAMAU LANCTÔT PHA313, 49.9207469,-74.3683325,Generic wooden pole
CHIBOUGAMAU LANCTÔT PHA321, 49.9208737,-74.3680606,Generic wooden pole
CHIBOUGAMAU MERRILL PHA321, 49.9205241,-74.3681100,Generic wooden pole
CHIBOUGAMAU GAGNON PHA317, 49.9218127,-74.3696242,Generic wooden pole
CHIBOUGAMAU DUFRESNE PHA208+1, 49.9217919,-74.3706628,Generic wooden pole
CHIBOUGAMAU GAGNON PHA301, 49.9215021,-74.3702631,Generic wooden pole
CHIBOUGAMAU DUFRESNE PHA209, 49.9215225,-74.3712113,Generic wooden pole
CHIBOUGAMAU DUFRESNE PTD197, 49.9212561,-74.3708786,Generic wooden pole
CHIBOUGAMAU DUFRESNE PHA187, 49.9210177,-74.3706481,Generic wooden pole
CHIBOUGAMAU DUFRESNE PHA175, 49.9208006,-74.3704058,Generic wooden pole
CHIBOUGAMAU LANCTÔT PHA77+1, 49.9212784,-74.3686973,Generic wooden pole
CHIBOUGAMAU BORDELEAU PHO341, 49.9220968,-74.3679993,Generic wooden pole
CHIBOUGAMAU BORDELEAU PHA343, 49.9217816,-74.3676650,Generic wooden pole
CHIBOUGAMAU WILSON PHA299, 49.9164635,-74.3567664,Generic wooden pole
CHIBOUGAMAU MERRILL PHA338, 49.9207187,-74.3664536,Generic wooden pole
CHIBOUGAMAU 1RE PHA581, 49.9156075,-74.3655710,Generic wooden pole
CHIBOUGAMAU 1RE PHA565, 49.9155866,-74.3651682,Generic wooden pole
CHIBOUGAMAU WILSON , 49.9160969,-74.3643036,Generic wooden pole
CHIBOUGAMAU WILSON PHA515, 49.9160344,-74.3638072,Generic wooden pole
CHIBOUGAMAU 1RE PHA515, 49.9155952,-74.3638137,Generic wooden pole
CHIBOUGAMAU 4E PHA474, 49.9160177,-74.3625063,Generic wooden pole
CHIBOUGAMAU WILSON PHA474, 49.9159949,-74.3621809,Generic wooden pole
CHIBOUGAMAU WILSON PHA458, 49.9160071,-74.3616803,Generic wooden pole
CHIBOUGAMAU WILSON PHA442, 49.9159916,-74.3614190,Generic wooden pole
CHIBOUGAMAU 1RE PHA458, 49.9156238,-74.3620148,Generic wooden pole
CHIBOUGAMAU 1RE PHA442, 49.9156114,-74.3613479,Generic wooden pole
CHIBOUGAMAU 3E PHA416, 49.9160036,-74.3601116,Generic wooden pole
CHIBOUGAMAU 1RE PHA416, 49.9156076,-74.3601350,Generic wooden pole
CHIBOUGAMAU WILSON PHA416, 49.9160047,-74.3602065,Generic wooden pole
CHIBOUGAMAU 3E PHA118, 49.9160115,-74.3593621,Generic wooden pole
CHIBOUGAMAU WILSON PHA364, 49.9160084,-74.3590185,Generic wooden pole
CHIBOUGAMAU WILSON PHA344, 49.9160065,-74.3580587,Generic wooden pole
CHIBOUGAMAU WILSON PHA326, 49.9160244,-74.3578074,Generic wooden pole
CHIBOUGAMAU 1RE PHA360, 49.9156215,-74.3585842,Generic wooden pole
CHIBOUGAMAU 1RE PHA320, 49.9156587,-74.3574157,Generic wooden pole
CHIBOUGAMAU 1RE PHA302, 49.9156544,-74.3569520,Generic wooden pole
CHIBOUGAMAU WILSON PHA302, 49.9160424,-74.3569670,Generic wooden pole
CHIBOUGAMAU WILSON PHA320, 49.9160134,-74.3571531,Generic wooden pole
CHIBOUGAMAU 2E PHA571, 49.9147891,-74.3653753,Generic wooden pole
CHIBOUGAMAU 1RE , 49.9152204,-74.3637476,Generic wooden pole
CHIBOUGAMAU 2E PHA525, 49.9147869,-74.3640496,Generic wooden pole
CHIBOUGAMAU 1RE PHA465, 49.9152222,-74.3619880,Generic wooden pole
CHIBOUGAMAU 1RE PHA434, 49.9152025,-74.3610542,Generic wooden pole
CHIBOUGAMAU 3E PHD162, 49.9148308,-74.3593595,Generic wooden pole
CHIBOUGAMAU 2E PHA360, 49.9147910,-74.3586332,Generic wooden pole
CHIBOUGAMAU 1RE PHA342, 49.9152422,-74.3581704,Generic wooden pole
CHIBOUGAMAU 1RE PHA332, 49.9152383,-74.3576490,Generic wooden pole
CHIBOUGAMAU 2E PHA342, 49.9148173,-74.3579481,Generic wooden pole
CHIBOUGAMAU 2E PHA189, 49.9147630,-74.3551951,Generic wooden pole
CHIBOUGAMAU 2E PHA181, 49.9148283,-74.3542923,Generic wooden pole
CHIBOUGAMAU 2E PHA87, 49.9147784,-74.3517254,Generic wooden pole
CHIBOUGAMAU 2E PHD115, 49.9147627,-74.3520729,Generic wooden pole
CHIBOUGAMAU 2E PHA158, 49.9143235,-74.3529021,Generic wooden pole
CHIBOUGAMAU 2E PHA184, 49.9143767,-74.3545473,Generic wooden pole
